Stock_ID,Pattern,Signals,Win_Rate(%),Avg_Return(%),Max_Drawdown(%),Expected_Value(%)
3138.TW,P05_連跌反轉紅K,34,79.41,37.43,-16.72,28.28
6944.TW,P12_多頭回檔,4,100.0,28.27,-5.01,28.27
7799.TW,P02_量增紅K,6,66.67,45.77,-17.98,28.18
6838.TW,P09_量縮後爆量紅K,1,100.0,28.12,-5.86,28.12
3533.TW,P07_RSI超賣量縮,18,94.44,30.01,-8.67,27.96
2009.TW,P08_黃金交叉量增,4,75.0,39.38,-6.75,27.79
3661.TW,P02_量增紅K,5,80.0,36.3,-14.99,27.64
3138.TW,P07_RSI超賣量縮,54,83.33,34.53,-17.4,27.61
7780.TW,P05_連跌反轉紅K,7,71.43,41.31,-15.17,27.51
2465.TW,P09_量縮後爆量紅K,19,78.95,36.66,-13.08,27.46
2609.TW,P09_量縮後爆量紅K,7,57.14,52.67,-13.36,27.1
7795.TW,P02_量增紅K,11,81.82,34.57,-5.63,27.01
1504.TW,P09_量縮後爆量紅K,4,75.0,38.14,-6.15,26.85
3231.TW,P11_多頭排列紅K,57,85.96,32.04,-5.83,26.56
7711.TW,P02_量增紅K,4,100.0,26.4,-14.59,26.4
3013.TW,P05_連跌反轉紅K,24,87.5,31.01,-5.85,26.26
2377.TW,P09_量縮後爆量紅K,2,100.0,26.09,-3.31,26.09
6994.TW,P09_量縮後爆量紅K,4,100.0,26.04,-9.85,26.04
2328.TW,P08_黃金交叉量增,3,100.0,26.01,-10.36,26.01
3669.TW,P08_黃金交叉量增,12,75.0,36.97,-8.87,25.98
3661.TW,P07_RSI超賣量縮,20,85.0,31.74,-16.15,25.93
2364.TW,P02_量增紅K,26,65.38,42.7,-12.67,25.49
3167.TW,P08_黃金交叉量增,9,88.89,29.51,-8.55,25.46
6550.TW,P11_多頭排列紅K,31,74.19,36.28,-14.39,25.11
3592.TW,P08_黃金交叉量增,5,100.0,24.98,-4.22,24.98
2345.TW,P09_量縮後爆量紅K,4,100.0,24.97,-11.4,24.97
6944.TW,P10_組合訊號,2,100.0,24.86,-5.02,24.86
6472.TW,P04_長下影線放量,22,81.82,31.86,-11.17,24.79
3017.TW,P08_黃金交叉量增,6,83.33,31.04,-12.1,24.7
2467.TW,P08_黃金交叉量增,8,87.5,28.9,-7.09,24.42
2382.TW,P02_量增紅K,10,90.0,27.85,-7.57,24.37
3715.TW,P02_量增紅K,13,69.23,38.25,-12.74,24.32
2364.TW,P11_多頭排列紅K,26,80.77,31.67,-15.64,24.23
6176.TW,P09_量縮後爆量紅K,2,100.0,24.16,-2.85,24.16
2330.TW,P09_量縮後爆量紅K,1,100.0,24.1,-5.49,24.1
8045.TW,P05_連跌反轉紅K,17,70.59,36.99,-17.64,24.05
6919.TW,P04_長下影線放量,20,80.0,31.79,-11.15,24.03
2009.TW,P02_量增紅K,25,68.0,38.47,-10.79,23.92
4949.TW,P10_組合訊號,3,100.0,23.78,-13.27,23.78
2609.TW,P08_黃金交叉量增,4,50.0,54.34,-11.38,23.67
4967.TW,P08_黃金交叉量增,5,80.0,31.26,-11.74,23.6
6531.TW,P04_長下影線放量,31,77.42,32.34,-13.89,23.46
3653.TW,P06_價量背離,13,92.31,25.81,-10.58,23.29
2465.TW,P08_黃金交叉量增,15,80.0,30.67,-12.1,23.14
6531.TW,P05_連跌反轉紅K,25,76.0,32.65,-10.92,23.14
2383.TW,P09_量縮後爆量紅K,4,100.0,23.02,-10.22,23.02
6757.TW,P02_量增紅K,9,100.0,22.95,-4.38,22.95
9921.TW,P09_量縮後爆量紅K,3,100.0,22.92,-5.76,22.92
1560.TW,P09_量縮後爆量紅K,4,100.0,22.7,-3.46,22.7
2486.TW,P09_量縮後爆量紅K,19,94.74,24.3,-13.08,22.65
3576.TW,P09_量縮後爆量紅K,5,80.0,29.9,-10.05,22.52
6805.TW,P11_多頭排列紅K,16,93.75,24.43,-8.19,22.47
7722.TW,P02_量增紅K,2,100.0,22.37,-8.95,22.37
6472.TW,P05_連跌反轉紅K,24,91.67,24.78,-6.73,22.13
5225.TW,P09_量縮後爆量紅K,10,80.0,29.36,-6.75,22.09
6919.TW,P12_多頭回檔,21,80.95,28.9,-11.31,22.06
4949.TW,P01_量縮價穩,17,58.82,42.28,-9.79,21.99
5258.TW,P07_RSI超賣量縮,62,93.55,23.98,-8.52,21.98
6919.TW,P01_量縮價穩,55,80.0,29.11,-9.78,21.89
6706.TW,P02_量增紅K,19,89.47,25.23,-11.14,21.84
6515.TW,P07_RSI超賣量縮,48,83.33,27.53,-14.03,21.77
6955.TW,P04_長下影線放量,21,95.24,23.18,-4.02,21.74
3653.TW,P04_長下影線放量,28,89.29,25.17,-8.78,21.72
6446.TW,P09_量縮後爆量紅K,9,66.67,35.96,-14.09,21.64
2345.TW,P06_價量背離,14,92.86,23.81,-8.78,21.61
6949.TW,P01_量縮價穩,45,57.78,42.48,-15.67,21.59
6796.TW,P07_RSI超賣量縮,48,81.25,28.15,-9.39,21.56
2636.TW,P09_量縮後爆量紅K,5,80.0,28.69,-11.34,21.55
6669.TW,P07_RSI超賣量縮,19,94.74,23.06,-9.49,21.48
4763.TW,P04_長下影線放量,28,82.14,27.3,-9.61,21.17
4961.TW,P09_量縮後爆量紅K,9,77.78,29.19,-9.89,21.15
2368.TW,P04_長下影線放量,24,87.5,25.15,-8.89,21.13
1616.TW,P07_RSI超賣量縮,50,88.0,24.87,-7.77,21.05
4569.TW,P06_價量背離,25,60.0,39.46,-12.21,20.88
3715.TW,P10_組合訊號,8,50.0,48.02,-11.37,20.51
8033.TW,P09_量縮後爆量紅K,15,73.33,30.2,-11.21,20.28
3533.TW,P09_量縮後爆量紅K,4,100.0,20.13,-8.09,20.13
7791.TW,P08_黃金交叉量增,1,100.0,20.0,-0.61,20.0
6117.TW,P05_連跌反轉紅K,19,73.68,29.61,-11.06,19.97
2368.TW,P08_黃金交叉量增,9,77.78,27.54,-14.49,19.87
6781.TW,P03_均線支撐放量,8,75.0,28.76,-14.49,19.82
6526.TW,P08_黃金交叉量增,1,100.0,19.79,-2.95,19.79
7780.TW,P01_量縮價穩,35,77.14,27.71,-10.69,19.77
3535.TW,P09_量縮後爆量紅K,9,77.78,27.35,-9.06,19.72
6443.TW,P09_量縮後爆量紅K,11,54.55,41.97,-12.86,19.71
6658.TW,P12_多頭回檔,5,80.0,26.33,-21.19,19.66
3189.TW,P07_RSI超賣量縮,53,92.45,21.79,-7.59,19.62
6757.TW,P11_多頭排列紅K,22,86.36,23.77,-6.04,19.57
7791.TW,P09_量縮後爆量紅K,2,100.0,19.54,-1.5,19.54
